Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 аречв как охолп олатс авонс;морту; снова стало плохо _ как вчера ; утром ;?  ; ;Татьяна Тронина. Русалка для интимных встреч (2004) ;Татьяна Тронина ; ;Русалка для интимных встреч ;2004 ;художественная ;роман ; ;Татьяна Тронина. Русалка для интимных встреч ;2004 ;книга ;омонимия не снята; Вдруг ему снова стало плохо _ как вчера утром?  [Татьяна Тронина. Русалка для интимных встреч (2004)] [омонимия не снята]
 липук я номил етимьзоВ аротом;морту; мотора._ Возьмите лимон, я купил ; утром ;!  ; ;Юрий Трифонов. Предварительные итоги (1970) ;Юрий Трифонов ;1925 ;Предварительные итоги ;1970 ;художественная ;повесть ; ;Трифонов Ю.А. Избранные произведения: В 2т ;1978 ;книга ;омонимия снята;" Лариса достаёт из холодильника бутылку армянского, слегка початую, две рюмки из шкафчика. ""Витасик! _ стучит в стену._ Хочешь рюмку коньяку?""_ ""Не-ет! _ Бодрый крик сквозь шум мотора._ Возьмите лимон, я купил утром!  [Юрий Трифонов. Предварительные итоги (1970)] [омонимия снята]"
 онар илахеу и тадлос ьтяп;морту; пять солдат и уехали рано ; утром ;.  ; ;М. Ю. Лермонтов. Герой нашего времени (1839-1841) ;М. Ю. Лермонтов ;1814 ;Герой нашего времени ;1839-1841 ;художественная ;роман ; ;М.Ю. Лермонтов. Собрание сочинений в 4 томах ;1958 ;книга ;омонимия снята; Мы взяли человек пять солдат и уехали рано утром.  [М. Ю. Лермонтов. Герой нашего времени (1839-1841)] [омонимия снята]
 оген у алисорпс алимдюЛ как;морту; как Людмила спросила у него ; утром ;:  ; ;Василий Гроссман. Жизнь и судьба, часть 3 (1960) ;Василий Гроссман ;1905 ;Жизнь и судьба, часть 3 ;1960 ;художественная ;роман ; ;Гроссман В. Жизнь и судьба ;1992 ;книга ;омонимия снята;  А днём Евгения Николаевна вернулась с Кузнецкого моста, и Штрум, посмотрев на её лицо, спросил так же, как Людмила спросила у него утром:  [Василий Гроссман. Жизнь и судьба, часть 3 (1960)] [омонимия снята]
 яндогес кидуР алазакс ебет я;морту; я тебе сказала, Рудик, сегодня ; утром ;?!  ; ;Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978) ;Ю. О. Домбровский ;1909 ;Факультет ненужных вещей, часть 2 ;1978 ;художественная ;роман ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т. 5 ;1992 ;книга ;омонимия снята; А что я тебе сказала, Рудик, сегодня утром?!  [Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978)] [омонимия снята]
 киньледеноп в еьлещу мокснуграораШ в;морту; в Шароаргунском ущелье в понедельник ; утром ;.  ; ;Мария Белоклокова, Александр Чуйков. Облава продолжается. Федералам, возможно, удалось взять Хаттаба (2001) // «Известия», 2001.06.26 ;Мария Белоклокова, Александр Чуйков ; ;Облава продолжается. Федералам, возможно, удалось взять Хаттаба ;2001 ;публицистика, нехудожественная ;заметка ;политика и общественная жизнь ;«Известия» ;2001.06.26 ;газета ;омонимия снята;  Группу боевиков численностью около ста человек пограничный дозор обнаружил в Шароаргунском ущелье в понедельник утром.  [Мария Белоклокова, Александр Чуйков. Облава продолжается. Федералам, возможно, удалось взять Хаттаба (2001) // «Известия», 2001.06.26] [омонимия снята]
 миннесев ьсяаджалсан омидив и укнесеп;морту; песенку и, видимо, наслаждаясь весенним ; утром ;.  ; ;Э. Г. Казакевич. Звезда (1946) ;Э. Г. Казакевич ;1913 ;Звезда ;1946 ;художественная ;повесть ; ;Соч. в 2 тт. ;1963 ;книга ;омонимия снята; Он шагал, насвистывая песенку и, видимо, наслаждаясь весенним утром.  [Э. Г. Казакевич. Звезда (1946)] [омонимия снята]
 миннар тюавыб еикак интеус и;морту; и суетни, какие бывают ранним ; утром ;.  ; ;Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000 ;Людмила Улицкая ;1943 ;Казус Кукоцкого [Путешествие в седьмую сторону света] ;2000 ;художественная ;роман ; ;«Новый Мир» ;2000 ;журнал ;омонимия снята; Никаких мелких движений, лёгкой дрожи и суетни, какие бывают ранним утром.  [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
 мырбод С  ушуд в ястажол;морту; ложатся в душу.   _ С добрым ; утром ;.  ;  _ Здравствуйте.  ;И. Грекова. На испытаниях (1967) ;И. Грекова ;1907 ;На испытаниях ;1967 ;художественная ;повесть ; ;На испытаниях ;1990 ;книга ;омонимия снята; Волосы на висках мокрые, а серьёзные серые глаза так и ложатся в душу.   _ С добрым утром.   _ Здравствуйте.  [И. Грекова. На испытаниях (1967)] [омонимия снята]
 яндогес мав линовЗ  лищбоос онйокопс;морту; спокойно сообщил:   _ Звонил вам сегодня ; утром ;.  ; Чертов автоответчик!  ;Н. Леонов, А. Макеев. Ментовская крыша (2004) ;Н. Леонов, А. Макеев ;1933 ;Ментовская крыша ;2004 ;художественная ;роман ; ;Н. Леонов, А. Макеев. Ментовская крыша ;2004 ;книга ;омонимия не снята;  Крячко оставил язвительное замечание без внимания и спокойно сообщил:   _ Звонил вам сегодня утром.  Чертов автоответчик!  [Н. Леонов, А. Макеев. Ментовская крыша (2004)] [омонимия не снята]
 ливарпто ашЯ  уциньлоб в иливарпто;морту; отправили в больницу.  Яша отправил ; утром ;.  ;  Любовь Андреевна  ;А. П. Чехов. Вишневый сад (1904) ;А. П. Чехов ;1860 ;Вишневый сад ;1904 ;художественная ;пьеса ; ;А.П. Чехов. Полное собрание сочинений и писем ;1974 ;книга ;омонимия снята; Мама, Фирса уже отправили в больницу.  Яша отправил утром.      [А. П. Чехов. Вишневый сад (1904)] [омонимия снята]
  чивортеП йерднА ьсилунреВ ;мортУ;   _ Вернулись, Андрей Петрович?   _ ; Утром ;.  ; А что сам?  ;Татьяна Устинова. Большое зло и мелкие пакости (2003) ;Татьяна Устинова ;1968 ;Большое зло и мелкие пакости ;2003 ;художественная ;роман ; ;Татьяна Устинова. Большое зло мелкие пакости ;2003 ;книга ;омонимия не снята;  _ Вернулись, Андрей Петрович?   _ Утром.  А что сам?  [Татьяна Устинова. Большое зло и мелкие пакости (2003)] [омонимия не снята]
 мырес ежу олыб отЭ  ончувззеб;морту; беззвучно…  _ Это было уже серым ; утром ;…  ; Ветер стал стихать…  ;В. Г. Короленко. Мороз (1900-1901) ;В. Г. Короленко ;1853 ;Мороз ;1900-1901 ;художественная ;рассказ ; ;В.Г. Короленко. Собрание сочинений в десяти томах. Том 1. Повести и рассказы ;1953 ;книга ;омонимия снята;  _ Нашли, _ ответил он как-то беззвучно…  _ Это было уже серым утром…  Ветер стал стихать…  [В. Г. Короленко. Мороз (1900-1901)] [омонимия снята]
 митэ алыб ыт едг И;морту; И где ты была этим ; утром ;?  ; Я звоню, звоню…  ;Татьяна Тронина. Русалка для интимных встреч (2004) ;Татьяна Тронина ; ;Русалка для интимных встреч ;2004 ;художественная ;роман ; ;Татьяна Тронина. Русалка для интимных встреч ;2004 ;книга ;омонимия не снята; Я сейчас приеду за тобой.  И где ты была этим утром?  Я звоню, звоню…  [Татьяна Тронина. Русалка для интимных встреч (2004)] [омонимия не снята]
 ондзоп яслунсорп Я  кеволеч йокат;морту; такой человек.   Я проснулся поздно ; утром ;.  ; Его уже не было.  ;Фазиль Искандер. Муки совести, или Байская кровать (1980-1990) ;Фазиль Искандер ;1929 ;Муки совести, или Байская кровать ;1980-1990 ;художественная ;рассказ ; ;Собр. соч.: В 6 т. - М., 1997 ;1997 ;книга ;омонимия снята; Просто такой человек.   Я проснулся поздно утром.  Его уже не было.  [Фазиль Искандер. Муки совести, или Байская кровать (1980-1990)] [омонимия снята]
 онар яслунсорп Я  автсдор яинещущо;морту;" ощущения родства?..""   Я проснулся рано "; утром ;.  ; За окном покачивалась ветка.  ;Сергей Довлатов. Наши (1983) ;Сергей Довлатов ;1941 ;Наши ;1983 ;художественная ;повесть ; ;Собрание прозы в 3 т. Т.2 ;1993 ;книга ;омонимия снята;" Что нужно людям для ощущения родства?..""   Я проснулся рано утром.  За окном покачивалась ветка.  [Сергей Довлатов. Наши (1983)] [омонимия снята]"
 юновЗ  гёл ежу но аД;морту; Да, он уже лёг.   Звоню ; утром ;.  ;  _ Борис Александрович ещё спит.  ;Владимир Войнович. Иванькиада, или рассказ о вселении писателя Войновича в новую квартиру (1976) ;Владимир Войнович ;1932 ;Иванькиада, или рассказ о вселении писателя Войновича в новую квартиру ;1976 ;художественная ;повесть ; ;Владимир Войнович. Замысел. ;2000 ;книга ;омонимия снята; _ И, выдержав паузу: _ Да, он уже лёг.   Звоню утром.   _ Борис Александрович ещё спит.  [Владимир Войнович. Иванькиада, или рассказ о вселении писателя Войновича в новую квартиру (1976)] [омонимия снята]
 ьтунрев олыб одан угинК  хакжонокорос;морту; сороконожках.   Книгу надо было вернуть ; утром ;.  ; Милий Алексеевич управился к рассвету ;Юрий Давыдов. Синие тюльпаны (1988-1989) ;Юрий Давыдов ;1924 ;Синие тюльпаны ;1988-1989 ;художественная ;роман ; ;Юрий Давыдов. Жемчужины Филда ;1997 ;книга ;омонимия снята;" Да, остаёшься в лагерных пределах, но уже не льёшься ""каплей с массами"" в бригадных колоннах-сороконожках.   Книгу надо было вернуть утром.  Милий Алексеевич управился к рассвету.  [Юрий Давыдов. Синие тюльпаны (1988-1989)] [омонимия снята]"
 олсам еончовилС  дебо в осяМ;морту; Мясо в обед.  Сливочное масло ; утром ;.  ; Не изрезана, не ошершавлена кожа ;Александр Солженицын. В круге первом, т.1, гл. 1-25 (1968) // «Новый Мир», 1990 ;Александр Солженицын ;1918 ;В круге первом, т.1, гл. 1-25 ;1968 ;художественная ;роман ; ;«Новый Мир» ;1990 ;журнал ;омонимия снята; Мясо в обед.  Сливочное масло утром.  Не изрезана, не ошершавлена кожа рук.  [Александр Солженицын. В круге первом, т.1, гл. 1-25 (1968) // «Новый Мир», 1990] [омонимия снята]
 как тедуб мёнд А  еокат;морту; такое.  А днём будет, как ; утром ;.  ; Ещё жмурика небось пехать_ тоже ;Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001 ;Олег Павлов ;1970 ;Карагандинские девятины, или Повесть последних дней ;2001 ;художественная ;повесть ; ;«Октябрь» ;2001 ;журнал ;омонимия снята; Это утро такое.  А днём будет, как утром.  Ещё жмурика небось пехать_ тоже нам…  [Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001] [омонимия снята]
 енм линовзоп ядолоВ  икшим икичйаз;морту; зайчики, мишки.  Володя позвонил мне ; утром ;:  ;  _ Ну вы с Ленкой вечером ;Сати Спивакова. Не всё (2002) ;Сати Спивакова ;1962 ;Не всё ;2002 ;публицистика, нехудожественная ;мемуары ; ;Сати Спивакова. Не всё ;2002 ;книга ;омонимия снята; Я вернулась домой, как в сказке, _ подруги продумали всё до мельчайших деталей: пелёнки, распашонки, зайчики, мишки.  Володя позвонил мне утром:   _ Ну вы с Ленкой вечером дома?  [Сати Спивакова. Не всё (2002)] [омонимия снята]
 артваз ьтичноко ястёдирп еоньлатсО  ужив;морту; вижу.  Остальное придётся окончить завтра ; утром ;…  ; И когда же приезжает этот ;Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 1 (1943-1958) ;Ю. О. Домбровский ;1909 ;Обезьяна приходит за своим черепом, часть 1 ;1943-1958 ;художественная ;роман ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т.2 ;1992 ;книга ;омонимия снята;  _ Ну вот, крылья и хвост готовы, уже становится темно, а я в сумерках плохо вижу.  Остальное придётся окончить завтра утром…  И когда же приезжает этот господин?  [Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 1 (1943-1958)] [омонимия снята]
 онаР  emit ;морту;"   time   ""Рано "; утром ;"""  ";"  ""Поздно вечером, когда солнце уже ";В. Э. Карпов, Т. В. Мещерякова. Об автоматизации нетворческих литературных процессов // «Информационные технологии», 2004 ;В. Э. Карпов, Т. В. Мещерякова ; ;Об автоматизации нетворческих литературных процессов ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, информатика ;«Информационные технологии» ;2004 ;журнал ;омонимия снята;"  time   ""Рано утром""   ""Поздно вечером, когда солнце уже село…""  [В. Э. Карпов, Т. В. Мещерякова. Об автоматизации нетворческих литературных процессов // «Информационные технологии», 2004] [омонимия снята]"
 ежу но яслунсорП  йинедив зеб;морту; без видений.  Проснулся он уже ; утром ;.  ; В целлулоидовое желтоватое окно жгуче ;Ю. О. Домбровский. Факультет ненужных вещей, часть 3 (1978) ;Ю. О. Домбровский ;1909 ;Факультет ненужных вещей, часть 3 ;1978 ;художественная ;роман ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т. 5 ;1992 ;книга ;омонимия снята; И опять сон был тихий, без видений.  Проснулся он уже утром.  В целлулоидовое желтоватое окно жгуче било солнце.  [Ю. О. Домбровский. Факультет ненужных вещей, часть 3 (1978)] [омонимия снята]
 ен адгот окьлоТ  волинроК литевто;морту; ответил Корнилов.   _ Только тогда не ; утром ;.  ; Утром я в город поеду ;Ю. О. Домбровский. Факультет ненужных вещей, часть 3 (1978) ;Ю. О. Домбровский ;1909 ;Факультет ненужных вещей, часть 3 ;1978 ;художественная ;роман ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т. 5 ;1992 ;книга ;омонимия снята; За всё, _ ответил Корнилов.   _ Только тогда не утром.  Утром я в город поеду, _ сказала хозяйка.  [Ю. О. Домбровский. Факультет ненужных вещей, часть 3 (1978)] [омонимия снята]
 онар енм тиновз адгони тарБ;морту; Брат иногда звонит мне рано ; утром ;.  ; То есть по ленинградскому времени ;Сергей Довлатов. Чемодан (1986) ;Сергей Довлатов ;1941 ;Чемодан ;1986 ;художественная ;рассказ ; ;Собрание прозы в 3 т. Т.2 ;1993 ;книга ;омонимия снята; Может быть, деньги того и не стоят.   Брат иногда звонит мне рано утром.  То есть по ленинградскому времени _глубокой ночью.  [Сергей Довлатов. Чемодан (1986)] [омонимия снята]
 миннар йирЮ адорог зи лахеыВ;морту; Выехал из города Юрий ранним ; утром ;.  ; Залил полный бак и взял ;Героиновый тюремщик (2003) // «Криминальная хроника», 2003.07.24 ; ; ;Героиновый тюремщик ;2003 ;публицистика, нехудожественная ;статья ;криминал ;«Криминальная хроника» ;2003.07.24 ;газета ;омонимия снята; Из рук в руки…   Выехал из города Юрий ранним утром.  Залил полный бак и взял курс в Вольск.  [Героиновый тюремщик (2003) // «Криминальная хроника», 2003.07.24] [омонимия снята]
 окьлот илапоп ым еоксвоР В;морту; В Ровское мы попали только ; утром ;.  ; Оказывается, мальчишки высадили нас за ;Сергей Довлатов. Наши (1983) ;Сергей Довлатов ;1941 ;Наши ;1983 ;художественная ;повесть ; ;Собрание прозы в 3 т. Т.2 ;1993 ;книга ;омонимия снята;  _ Я там спички оставил…   В Ровское мы попали только утром.  Оказывается, мальчишки высадили нас за четыре километра до цели…  [Сергей Довлатов. Наши (1983)] [омонимия снята]
  юнем и ищип амёирп кодяропсар;мортУ; распорядок приёма пищи и меню:   ; Утром ;  ;  Чаи с молоком или сливками ;Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Примечание господам вегетарианцам (1875-1900) ;Елена Молоховец ;1835 ;Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Примечание господам вегетарианцам ;1875-1900 ;бытовая, производственно-техническая, нехудожественная ;рецепт ;дом и домашнее хозяйство ; ; ;книга ;омонимия снята;  Так как гг. вегетарианцам советуется есть чаще, но понемногу, то, вероятно, пригодится и следующий распорядок приёма пищи и меню:   Утром   Чаи с молоком или сливками, с булками и сливочным маслом.  [Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Примечание господам вегетарианцам (1875-1900)] [омонимия снята]
 артваз одан ьтетеЛ  туним ьтацдавд;морту; двадцать минут.  Лететь надо завтра ; утром ;.  ;  Как и где тут пригодился ;Виктор Астафьев. Затеси (1999) // «Новый Мир», 2000 ;Виктор Астафьев ;1924 ;Затеси ;1999 ;публицистика, нехудожественная ;мемуары ; ;«Новый Мир» ;2000 ;журнал ;омонимия снята; Откликнулись из Усть-Кубены, районного центра, лёту до которого пятнадцать или двадцать минут.  Лететь надо завтра утром.   Как и где тут пригодился Рубцов, я не мог потом вспомнить.  [Виктор Астафьев. Затеси (1999) // «Новый Мир», 2000] [омонимия снята]
